"","BGC","RSMR","Current","2025","2055","2085","Pl.Current","Pl.2025","Pl.2055","Pl.2085","Sx.Current","Sx.2025","Sx.2055","Sx.2085","Bl.Current","Bl.2025","Bl.2055","Bl.2085","Fd.Current","Fd.2025","Fd.2055","Fd.2085","At.Current","At.2025","At.2055","At.2085","Ep.Current","Ep.2025","Ep.2055","Ep.2085","Ac.Current","Ac.2025","Ac.2055","Ac.2085"
"45","ESSFwk2",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"46","ICHmc1",1,"SD","MD","MD","MD","L","M","H","H","M","H","VH","VH","H","VH","VH","VH","L","L","L","L","L","M","H","H","H","VH","VH","VH","VH","VH","VH","VH"
"47","ICHmc1",2,"SD","SD","MD","MD","L","L","M","M","L","M","H","H","M","H","H","VH","L","L","L","L","L","L","M","M","M","H","H","VH","H","VH","VH","VH"
"48","ICHmc1",3,"SD","SD","SD","SD","L","L","L","M","L","M","M","M","L","M","H","H","L","L","L","L","L","L","L","M","L","M","H","H","H","VH","VH","VH"
"49","ICHmc1",4,"F","SD","SD","SD","L","L","L","L","L","L","L","M","L","L","M","M","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H","VH"
"50","ICHmc1",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"51","ICHmc2",1,"SD","MD","MD","MD","L","M","H","H","M","H","VH","VH","H","VH","VH","VH","L","L","L","L","L","M","H","H","H","VH","VH","VH","VH","VH","VH","VH"
"52","ICHmc2",2,"SD","SD","MD","MD","L","L","M","M","L","M","H","H","M","H","H","VH","L","L","L","L","L","L","M","M","M","H","H","VH","H","VH","VH","VH"
"53","ICHmc2",3,"SD","SD","SD","MD","L","L","L","M","L","M","M","H","L","M","H","H","L","L","L","L","L","L","L","M","L","M","H","H","H","VH","VH","VH"
"54","ICHmc2",4,"F","SD","SD","SD","L","L","L","L","L","L","L","M","L","L","M","M","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H","VH"
"55","ICHmc2",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
